GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
d̤ɟ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_palatal	to_plosive			
d̤ɠ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_velar	to_implosive			
d̤ɢ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_uvular	to_plosive			
d̤ʄ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_palatal	to_implosive			
d̤ʈ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_retroflex	to_plosive			
d̤ʔ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_glottal	to_plosive			
d̤ʛ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_uvular	to_implosive			
d̤ʛ̥	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_uvular	to_implosive			
d̤ʡ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_epiglottal	to_plosive			
d̪b	from_voiced	from_dental	from_plosive	to_voiced	to_bilabial	to_plosive			
d̪b̤	from_voiced	from_dental	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
d̪b̥	from_voiced	from_dental	from_plosive	to_devoiced	to_bilabial	to_plosive			
d̪c	from_voiced	from_dental	from_plosive	to_voiceless	to_palatal	to_plosive			
d̪cʼ	from_voiced	from_dental	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
d̪d	from_voiced	from_dental	from_plosive	to_voiced	to_alveolar	to_plosive			
d̪d̠	from_voiced	from_dental	from_plosive	to_voiced	to_postalveolar	to_plosive			
d̪d̤	from_voiced	from_dental	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
d̪d̪̈	from_voiced	from_dental	from_plosive	to_breathy-voiced	to_dental	to_plosive			
d̪d̰	from_voiced	from_dental	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
d̪d̻	from_voiced	from_dental	from_plosive	to_voiced	to_lamino-dental	to_plosive			
d̪g	from_voiced	from_dental	from_plosive	to_voiced	to_velar	to_plosive			
d̪g̈	from_voiced	from_dental	from_plosive	to_breathy-voiced	to_velar	to_plosive			
d̪g̊	from_voiced	from_dental	from_plosive	to_devoiced	to_velar	to_plosive			
d̪k	from_voiced	from_dental	from_plosive	to_voiceless	to_velar	to_plosive			
d̪kʼ	from_voiced	from_dental	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
d̪p	from_voiced	from_dental	from_plosive	to_voiceless	to_bilabial	to_plosive			
d̪pʼ	from_voiced	from_dental	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
d̪q	from_voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_plosive			
d̪qʼ	from_voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
d̪t	from_voiced	from_dental	from_plosive	to_voiceless	to_alveolar	to_plosive			
d̪tʼ	from_voiced	from_dental	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
d̪t̠	from_voiced	from_dental	from_plosive	to_voiceless	to_postalveolar	to_plosive			
d̪t̪	from_voiced	from_dental	from_plosive	to_voiceless	to_dental	to_plosive			
d̪t̻	from_voiced	from_dental	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
d̪ɓ	from_voiced	from_dental	from_plosive	to_voiced	to_bilabial	to_implosive			
d̪ɖ	from_voiced	from_dental	from_plosive	to_voiced	to_retroflex	to_plosive			
d̪ɖ̤	from_voiced	from_dental	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
d̪ɗ	from_voiced	from_dental	from_plosive	to_voiced	to_dental	to_implosive			
d̪ɟ	from_voiced	from_dental	from_plosive	to_voiced	to_palatal	to_plosive			
d̪ɠ	from_voiced	from_dental	from_plosive	to_voiced	to_velar	to_implosive			
d̪ɢ	from_voiced	from_dental	from_plosive	to_voiced	to_uvular	to_plosive			
d̪ʄ	from_voiced	from_dental	from_plosive	to_voiced	to_palatal	to_implosive			
d̪ʈ	from_voiced	from_dental	from_plosive	to_voiceless	to_retroflex	to_plosive			
d̪ʔ	from_voiced	from_dental	from_plosive	to_voiceless	to_glottal	to_plosive			
d̪ʛ	from_voiced	from_dental	from_plosive	to_voiced	to_uvular	to_implosive			
d̪ʛ̥	from_voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_implosive			
d̪ʡ	from_voiced	from_dental	from_plosive	to_voiceless	to_epiglottal	to_plosive			
d̪̈b	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_bilabial	to_plosive			
d̪̈b̤	from_breathy-voiced	from_dental	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
d̪̈b̥	from_breathy-voiced	from_dental	from_plosive	to_devoiced	to_bilabial	to_plosive			
d̪̈c	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_palatal	to_plosive			
d̪̈cʼ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
d̪̈d	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_alveolar	to_plosive			
d̪̈d̠	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_postalveolar	to_plosive			
d̪̈d̤	from_breathy-voiced	from_dental	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
d̪̈d̪	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_dental	to_plosive			
d̪̈d̰	from_breathy-voiced	from_dental	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
d̪̈d̻	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_lamino-dental	to_plosive			
d̪̈g	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_velar	to_plosive			
d̪̈g̈	from_breathy-voiced	from_dental	from_plosive	to_breathy-voiced	to_velar	to_plosive			
d̪̈g̊	from_breathy-voiced	from_dental	from_plosive	to_devoiced	to_velar	to_plosive			
d̪̈k	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_velar	to_plosive			
d̪̈kʼ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
d̪̈p	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_bilabial	to_plosive			
d̪̈pʼ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
d̪̈q	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_plosive			
d̪̈qʼ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
d̪̈t	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_alveolar	to_plosive			
d̪̈tʼ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
d̪̈t̠	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_postalveolar	to_plosive			
d̪̈t̪	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_dental	to_plosive			
d̪̈t̻	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
d̪̈ɓ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_bilabial	to_implosive			
d̪̈ɖ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_retroflex	to_plosive			
d̪̈ɖ̤	from_breathy-voiced	from_dental	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
d̪̈ɗ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_dental	to_implosive			
d̪̈ɟ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_palatal	to_plosive			
d̪̈ɠ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_velar	to_implosive			
d̪̈ɢ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_uvular	to_plosive			
d̪̈ʄ	from_breathy-voiced	from_dental	from_plosive	to_voiced	to_palatal	to_implosive			
d̪̈ʈ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_retroflex	to_plosive			
d̪̈ʔ	from_breathy-voiced	from_dental	from_plosive	to_voiceless	to_glottal	to_plosive			
