CLTS_NAME	BIPA_GRAPHEME	EURASIAN_URL	EURASIAN_GRAPHEME
long voiceless uvular stop consonant	qː	http://eurasianphonology.info/search_exact?dialects=True&query=qː	qː
devoiced voiced uvular stop consonant	ɢ̥	http://eurasianphonology.info/search_exact?dialects=True&query=ɢ̥	ɢ̥
nasalized palatalized voiceless pharyngeal fricative consonant	ħ̃ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=ħ̃ʲ	ħ̃ʲ
voiceless pharyngeal fricative consonant	ħ	http://eurasianphonology.info/search_exact?dialects=True&query=ħ	ħ
long front unrounded open front vowel	aː	http://eurasianphonology.info/search_exact?dialects=True&query=aː	aː
back less-rounded advanced creaky rounded open-mid back vowel	ɔ̜̟̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̟̜̰	ɔ̟̜̰
long back less-rounded advanced rounded open-mid back vowel	ɔ̜̟ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̟̜ː	ɔ̟̜ː
back creaky rounded close back vowel	ṵ	http://eurasianphonology.info/search_exact?dialects=True&query=ṵ	ṵ
lowered central unrounded close central vowel	ɨ̞	http://eurasianphonology.info/search_exact?dialects=True&query=ɨ̞	ɨ̞
lowered central creaky unrounded close central vowel	ɨ̞̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɨ̞̰	ɨ̞̰
long lowered central unrounded close central vowel	ɨ̞ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɨ̞ː	ɨ̞ː
front creaky unrounded open-mid front vowel	ɛ̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɛ̰	ɛ̰
central less-rounded rounded open-mid central vowel	ɞ̜	http://eurasianphonology.info/search_exact?dialects=True&query=ɞ̜	ɞ̜
central less-rounded creaky rounded open-mid central vowel	ɞ̜̰	http://eurasianphonology.info/search_exact?dialects=True&query=ɞ̜̰	ɞ̜̰
long central less-rounded rounded open-mid central vowel	ɞ̜ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɞ̜ː	ɞ̜ː
central creaky rounded close central vowel	ʉ̰	http://eurasianphonology.info/search_exact?dialects=True&query=ʉ̰	ʉ̰
front creaky unrounded close front vowel	ḭ	http://eurasianphonology.info/search_exact?dialects=True&query=ḭ	ḭ
long front nasalized unrounded open front vowel	ãː	http://eurasianphonology.info/search_exact?dialects=True&query=ãː	ãː
long front nasalized unrounded open-mid front vowel	ɛ̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɛ̃ː	ɛ̃ː
long lowered central nasalized unrounded close central vowel	ɨ̞̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɨ̞̃ː	ɨ̞̃ː
long near-front nasalized unrounded near-close near-front vowel	ɪ̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̃ː	ɪ̃ː
long front nasalized unrounded close front vowel	ĩː	http://eurasianphonology.info/search_exact?dialects=True&query=ĩː	ĩː
long back nasalized rounded close back vowel	ũː	http://eurasianphonology.info/search_exact?dialects=True&query=ũː	ũː
long central nasalized rounded close central vowel	ʉ̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ʉ̃ː	ʉ̃ː
long back less-rounded advanced nasalized rounded open-mid back vowel	ɔ̜̟̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̟̜̃ː	ɔ̟̜̃ː
long central less-rounded nasalized rounded open-mid central vowel	ɞ̜̃ː	http://eurasianphonology.info/search_exact?dialects=True&query=ɞ̜̃ː	ɞ̜̃ː
from long front nasalized unrounded open-mid front to non-syllabic front unrounded close front diphthong	ɛ̃ːi̯	http://eurasianphonology.info/search_exact?dialects=True&query=ɛ̃ːi̯	ɛ̃ːi̯
from front nasalized unrounded open front to front nasalized unrounded open-mid front diphthong	ãɛ̃	http://eurasianphonology.info/search_exact?dialects=True&query=ãɛ̃	ãɛ̃
from front nasalized rounded open-mid front to front nasalized unrounded open-mid front diphthong	œ̃ɛ̃	http://eurasianphonology.info/search_exact?dialects=True&query=œ̃ɛ̃	œ̃ɛ̃
