CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
breathy voiced bilabial stop consonant	bʱ	4324	b̤	pulmonic stop breathy voiced bilabial
voiced dental trill consonant	r̪	44	r̪	pulmonic trill voiced dental
voiceless bilabial fricative consonant	ɸ	46	ɸ	pulmonic fricative voiceless bilabial
from unrounded nearly-open front to unrounded close front diphthong	æi	4691	æi	diphtong high raised low front unrounded rising
palatalized voiced post-alveolar sibilant fricative consonant	ʒʲ	4692	ʒʲ	pulmonic fricative sibilant voiced palatalized palato-alveolar
creaky voiced palatal nasal consonant	ɲ̰	4697	ɲ̰	pulmonic nasal voiced laryngealized palatal
voiced bilabial fricative consonant	β	47	β	pulmonic fricative voiced bilabial
creaky voiced palatal stop consonant	ɟ̰	4700	ɟ̰	pulmonic stop voiced laryngealized palatal
from rounded open-mid back to rounded close front diphthong	ɔy	4701	ɔy	diphtong high lower mid front back rounded rising fronting
from unrounded nearly-open front to rounded close central diphthong	æʉ	4702	æʉ	diphtong high raised low front central unrounded rounded rising backing rounding
palatalized voiceless bilabial fricative consonant	ɸʲ	4703	ɸʲ	pulmonic fricative voiceless palatalized bilabial
creaky voiced alveolar trill consonant	r̰	4714	r̰	pulmonic trill voiced laryngealized alveolar
from creaky voiceless alveolar stop to creaky voiceless alveolar lateral fricative cluster	t̰ɬ̰	4716	t̰ɬ̰	pulmonic affricate lateral voiceless laryngealized alveolar
creaky voiced velar approximant consonant	ɰ̰	4719	ɰ̰	pulmonic approximant voiced laryngealized velar
voiceless labio-dental fricative consonant	f	48	f	pulmonic fricative voiceless labio-dental
voiced labio-dental fricative consonant	v	49	v	pulmonic fricative voiced labio-dental
devoiced voiced alveolar nasal consonant	n̥	4941	n̥	pulmonic nasal voiceless alveolar
devoiced voiced palatal approximant consonant	j̊	4944	j̥	pulmonic approximant voiceless palatal
creaky voiced alveolar lateral approximant consonant	l̰	4949	l̰	pulmonic approximant lateral voiced laryngealized alveolar
creaky voiced bilabial nasal consonant	m̰	4950	m̰	pulmonic nasal voiced laryngealized bilabial
creaky voiced alveolar nasal consonant	n̰	4951	n̰	pulmonic nasal voiced laryngealized alveolar
