CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiced dental implosive consonant	ɗ	ɗ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-162.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_dental_implosive.mp3	a voiced dental/alveolar implosive
voiced palatal implosive consonant	ʄ	ʄ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-164.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_palatal_implosive.mp3	a voiced palatal implosive
voiced velar implosive consonant	ɠ	ɠ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-166.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_velar_implosive.mp3	a voiced velar implosive
voiced uvular implosive consonant	ʛ	ʛ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-168.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_uvular_implosive.mp3	a voiced uvular implosive
voiceless bilabial ejective stop consonant	pʼ	pʼ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-101-401.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_bilabial_ejective.mp3	a voiceless bilabial ejective
voiceless alveolar ejective stop consonant	tʼ	tʼ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-401.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_dental_ejective.mp3	a voiceless dental/alveolar ejective
voiceless velar ejective stop consonant	kʼ	kʼ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-109-401.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_velar_ejective.mp3	a voiceless velar ejective
voiceless alveolar ejective sibilant fricative consonant	sʼ	sʼ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-132-401.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_alveolar-fricative_ejective.mp3	a voiceless alveolar fricative ejective
voiceless labialized-velar approximant consonant	ʍ	ʍ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-169.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_labial-velar_fricative.mp3	a voiceless labial-velar fricative
voiceless alveolo-palatal sibilant fricative consonant	ɕ	ɕ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-182.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_alveolo-palatal_fricative.mp3	a voiceless alveolo-palatal fricative
voiced alveolo-palatal sibilant fricative consonant	ʑ	ʑ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-183.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolo-palatal_fricative.mp3	a voiced alveolo-palatal fricative
voiced labialized-velar approximant consonant	w	w	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-170.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_labial-velar_approximant.mp3	a voiced labial-velar approximant
voiced alveolar lateral tap consonant	ɺ	ɺ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-181.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_lateral_flap.mp3	a voiced alveolar lateral flap
voiced labialized-palatal approximant consonant	ɥ	ɥ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-171.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_labial-palatal_approximant.mp3	a voiced labial-palatal approximant
voiceless palatal-velar fricative consonant	ɧ	ɧ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-175.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/sim_VL_postalveolar_velar_fricative.mp3	a simultaneous voiceless postalveolar and velar fricative
voiceless epiglottal fricative consonant	ʜ	ʜ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-172.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_epiglottal_fricative.mp3	a voiceless epiglottal fricative
