CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
syllabic palatalized voiced velar nasal consonant	ŋ̩ʲ	ŋ̩ʲ	\textipa{\sN}\super j	nasal::velar, palatal::+voice +nasal +syllabic
syllabic palatalized voiceless uvular stop consonant	q̩ʲ	q̩ʲ	\textipa{\s{q}}\super j	plosive::uvular, palatal::−voice +syllabic
syllabic palatalized voiced uvular stop consonant	ɢ̩ʲ	ɢ̩ʲ	\textipa{\s{\textscg}}\super j	plosive::uvular, palatal::+voice +syllabic
syllabic palatalized voiced uvular implosive consonant	ʛ̩ʲ	ʛ̩ʲ	\textipa{\s{\texthtscg}}\super j	plosive::uvular, palatal::+voice +syllabic
syllabic palatalized voiceless uvular fricative consonant	χ̩ʲ	χ̩ʲ	\textipa{\s{\textchi}}\super j	fricative::uvular, palatal::−voice +syllabic
syllabic palatalized voiced uvular fricative consonant	ʁ̩ʲ	ʁ̩ʲ	\textipa{\sK}\super j	fricative::uvular, palatal::+voice +syllabic
syllabic palatalized voiced uvular nasal consonant	ɴ̩ʲ	ɴ̩ʲ	\textipa{\s{\textscn}}\super j	nasal::uvular, palatal::+voice +nasal +syllabic
syllabic palatalized voiced pharyngeal fricative consonant	ʕ̩ʲ	ʕ̩ʲ	\textipa{\s{\textrevglotstop}}\super j	fricative::pharyngeal, palatal::+voice +syllabic
syllabic palatalized voiceless pharyngeal fricative consonant	ħ̩ʲ	ħ̩ʲ	\textipa{\s{\textcrh}}\super j	fricative::pharyngeal, palatal::−voice +syllabic
syllabic palatalized voiceless glottal stop consonant	ʔ̩ʲ	ʔ̩ʲ	\textipa{\s{\textglotstop}}\super j	plosive::glottal, palatal::−voice +syllabic
syllabic palatalized voiceless glottal fricative consonant	h̩ʲ	h̩ʲ	\textipa{\s{h}}\super j	fricative::glottal, palatal::−voice +syllabic
syllabic palatalized voiced glottal fricative consonant	ɦ̩ʲ	ɦ̩ʲ	\textipa{\s{\texthth}}\super j	fricative::glottal, palatal::+voice +syllabic
syllabic palatalized devoiced voiced bilabial nasal consonant	m̩̥ʲ	m̥̩ʲ	\textipa{\s{ *m}}\super j	nasal::labial, palatal::−voice +nasal +syllabic
syllabic palatalized devoiced voiced labio-dental nasal consonant	ɱ̩̥ʲ	ɱ̥̩ʲ	\textipa{\s{ *\textltailm}}\super j	nasal::labiodental, palatal::−voice +nasal +syllabic
syllabic palatalized devoiced voiced alveolar nasal consonant	n̩̥ʲ	n̥̩ʲ	\textipa{\s{ *n}}\super j	nasal::alveolar, palatal::−voice +nasal +syllabic
syllabic palatalized devoiced voiced retroflex nasal consonant	ɳ̩̥ʲ	ɳ̥̩ʲ	\textipa{\s{ *\:n}}\super j	nasal::retroflex, palatal::−voice +nasal +syllabic
syllabic palatalized devoiced voiced palatal nasal consonant	ɲ̩̥ʲ	ɲ̥̩ʲ	\textipa{\s{ *\textltailn}}\super j	nasal::palatal::−voice +nasal +syllabic
